10m Pilot Boat,,,,,,,,,,,
Orca3D Weight and Cost Report,,,,,,,,,,,
Landing School,,,,,,,,,,,
Report Time: 3/31/2011 3:54:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Model Name: C:\Documents and Settings\lab2\Micha\Assignments\09 - Pilot Boat\drawings\Niskin Pilot Boat 090.3dm,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Weight Items,,,,,,,,,,,
Object Name,,Material,Weight (kgf),LCG (mm),TCG (mm),VCG (mm),,,Weight Basis,,
"I long'l, side, upper, stbd",,"Al plate, 6061T6, 4mm",10.919,4742.724,1613.388,930.695,,,1.011 m^2,,
"I long'l, side, lower, stbd",,"Al plate, 6061T6, 4mm",17.863,5120.021,1260.708,343.389,,,1.654 m^2,,
"I long'l, side, middle, stbd",,"Al plate, 6061T6, 4mm",18.393,4999.228,1340.760,660.828,,,1.703 m^2,,
"I long'l, side, upper, port",,"Al plate, 6061T6, 4mm",11.408,5956.254,-1471.427,894.715,,,1.056 m^2,,
"I long'l, side, upper, port",,"Al plate, 6061T6, 4mm",10.919,4742.724,-1613.388,930.695,,,1.011 m^2,,
"I long'l, side, lower, port",,"Al plate, 6061T6, 4mm",17.863,5120.021,-1260.708,343.389,,,1.654 m^2,,
"I long'l, side, middle, port",,"Al plate, 6061T6, 4mm",18.393,4999.228,-1340.760,660.828,,,1.703 m^2,,
VII genset foundation,,"Al plate, 6061T6, 8mm",9.910,8757.500,55.500,248.980,,,0.459 m^2,,
VII genset foundation,,"Al plate, 6061T6, 8mm",2.069,8637.769,55.500,273.980,,,0.096 m^2,,
VII piping foundation,,"Al plate, 6061T6, 6mm",1.296,7984.877,-529.829,-90.348,,,0.080 m^2,,
VII piping foundation,,"Al plate, 6061T6, 6mm",1.118,8014.979,-287.500,198.000,,,0.069 m^2,,
VII piping foundation,,"Al plate, 6061T6, 6mm",1.296,7984.877,529.829,-90.348,,,0.080 m^2,,
VII piping foundation,,"Al plate, 6061T6, 6mm",1.118,8014.979,287.500,198.000,,,0.069 m^2,,
"VII battery flat, stbd",,"Al plate, 6061T6, 8mm",22.911,8499.420,1045.342,-51.020,,,1.061 m^2,,
"VII battery flat, port",,"Al plate, 6061T6, 8mm",22.911,8499.420,-1045.342,-51.020,,,1.061 m^2,,
I seachest top,,"Al plate, 6061T6, 8mm",22.248,8500.000,0.000,-251.020,,,1.030 m^2,,
"I engine bed, outboard, stbd",,"Al plate, 6061T6, 8mm",29.348,7265.218,985.000,-125.300,,,1.359 m^2,,
"I engine bed, inboard, stbd",,"Al plate, 6061T6, 8mm",46.770,7300.145,515.000,-207.799,,,2.165 m^2,,
"I engine bed, inboard, stbd",,"Al plate, 6061T6, 8mm",11.023,7125.350,459.293,18.631,,,0.510 m^2,,
